289,Baimuru Airport,Baimuru,PG
290,Baise Youjiang Airport,Baise,CN
291,Baita International Airport,Hohhot,CN
292,Bakel Airport,Bakel,SN
293,Baker City Municipal Airport,Baker City,US
294,Baker Lake Airport,Baker Lake,CA
295,Baku Kala Air Base,Baku,AZ
296,Balakovo Airport,Balakovo,RU
297,Balashov Air Base,Balashov,RU
298,Balbasovo Air Base,Orsha,BY
299,Balchik Air Base,Balchik,BG
300,Bal?kesir Körfez Airport,Edremit,TR
301,Balimo Airport,Balimo,PG
302,Balkhash Airport,Balkhash,KZ
303,Ballina Byron Gateway Airport,Ballina,AU
304,Balmaceda Airport,Balmaceda,CL
305,B?l?i City Airport,B?l?i,MD
306,Balti International Airport,Strymba,MD
307,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US
308,Bamenda Airport,Bamenda,CM
309,Banak Airport,Lakselv,NO
310,Bancasi Airport,Butuan City,PH
311,Bandar Abbas International Airport,Bandar Abbas,IR
312,Bandar Lengeh Airport,Bandar Lengeh,IR
313,Bandaranaike International Colombo Airport,Colombo,LK
314,B?neasa International Airport,Bucharest,RO
315,Bangoka International Airport,Kisangani,CD
316,Bangor International Airport,Bangor,US
317,Bangui M'Poko International Airport,Bangui,CF
318,Banja Luka International Airport,Banja Luka,BA
319,Banjul International Airport,Banjul,GM
320,Bao'anying Airport,Panzhihua,CN
321,Baotou Airport,Baotou,CN
322,Bar Yehuda Airfield,Masada,IL
323,Baracoa Airport,Magangué,CO
324,Baranavichi Air Base,Baranavichi,BY
325,Barberton Airport,Umjindi (Barberton),ZA
326,Barcaldine Airport,Barcaldine,AU
327,Barcelona International Airport,Barcelona,ES
328,Bardufoss Airport,Målselv,NO
329,Bareilly Air Force Station,Bareilly,IN
330,Bari Karol Wojty?a Airport,Bari,IT
331,Barinas Airport,Barinas,VE
332,Bario Airport,Bario,MY
333,Barisal Airport,Barisal,BD
334,Barking Sands Airport,Kekaha,US
335,Barkley Regional Airport,Paducah,US
336,Barksdale Air Force Base,Bossier City,US
337,Barnaul Airport,Barnaul,RU
338,Barnstable Municipal Boardman Polando Field,Hyannis,US
339,Barquisimeto International Airport,Barquisimeto,VE
340,Barra Airport,Eoligarry,GB
341,Barra del Colorado Airport,Pococi,CR
342,Barra do Garças Airport,Barra Do Garças,BR
343,Barriles Airport,Tocopilla,CL
344,Barrow Walney Island Airport,Barrow-in-Furness,GB
345,Barstow Daggett Airport,Daggett,US
346,Barter Island LRRS Airport,Barter Island Lrrs,US
347,Bartolomeu Lisandro Airport,Campos Dos Goytacazes,BR
348,Barysiai Airport,Barysiai,LT
349,Basco Airport,Basco,PH
350,Base Aérea Airport,Anápolis,BR
351,Base Aérea de Santos Airport,Guarujá,BR
352,Base de Aviação de Taubaté Airport,Taubaté,BR
353,Basrah International Airport,Basrah,IQ
354,Bassatine Airport,Meknes,MA
355,Bassel Al-Assad International Airport,Latakia,SY
356,Bastia-Poretta Airport,Bastia/Poretta,FR
357,Batajnica Air Base,Batajnica,RS
358,Bathurst Airport,Bathurst,CA
359,Bathurst Airport,Bathurst,AU
360,Batken Airport,Batken,KG
361,Batman Airport,Batman,TR
362,Batna Airport,Batna,DZ
363,"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,US
