Lázaro Cárdenas Airport,Lázaro Cárdenas,MX-MIC
Le Castellet Airport,Le Castellet,FR-U
Le Havre Octeville Airport,Le Havre/Octeville,FR-Q
Le Luc-Le Cannet Airport,Le Luc/Le Cannet,FR-U
Le Mans-Arnage Airport,Le Mans/Arnage,FR-R
Le Puy-Loudes Airport,Le Puy/Loudes,FR-C
Le Touquet-Côte d'Opale Airport,Le Touquet-Paris-Plage,FR-O
Lea County Regional Airport,Hobbs,US-NM
Leaf Rapids Airport,Leaf Rapids,CA-MB
Learmonth Airport,Exmouth,AU-WA
Lebanon Municipal Airport,Lebanon,US-NH
Lebyazhye Air Base,Kamyshin,RU-VGG
Leczyca Military Air Base,Leczyca,PL-LD
Leeds Bradford Airport,Leeds,GB-ENG
Leeds East Airport,Church Fenton,GB-ENG
Leeming Airport,Leeming,GB-ENG
Leesburg International Airport,Leesburg,US-FL
Leeuwarden Air Base,Leeuwarden,NL-FR
Leeward Point Field,Guantanamo Bay Naval Station,CU-14
Legazpi City International Airport,Legazpi City,PH-ALB
Leh Kushok Bakula Rimpochee Airport,Leh,IN-JK
Lehigh Valley International Airport,Allentown,US-PA
Leipzig/Halle Airport,Leipzig,DE-SN
Leite Lopes Airport,Ribeirão Preto,BR-SP
Leknes Airport,Leknes,NO-18
Lelystad Airport,Lelystad,NL-FL
Lemhi County Airport,Salmon,US-ID
Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,US-CA
Lengpui Airport,Aizawl,IN-MZ
Lennart Meri Tallinn Airport,Tallinn,EE-37
Lensk Airport,Lensk,RU-SA
Leon Airport,León,ES-CL
Leonardo da Vinci–Fiumicino Airport,Rome,IT-62
Leonora Airport,Leonora,AU-WA
Léopold Sédar Senghor International Airport,Dakar,SN-DK
Les Bases Airport,Grand Bourg,GP-U-A
Les Cayes Airport,Les Cayes,HT-SD
Les Eplatures Airport,La Chaux-de-Fonds,CH-NE
L'Espérance Airport,Grand Case,MF-U-A
Lester B. Pearson International Airport,Toronto,CA-ON
Lethbridge County Airport,Lethbridge,CA-AB
Lethem Airport,Lethem,GY-UT
Levashovo Air Base,St. Petersburg,RU-SPE
Lewiston Nez Perce County Airport,Lewiston,US-ID
Lewistown Municipal Airport,Lewistown,US-MT
Lhasa Gonggar Airport,Lhasa,CN-54
Lhok Sukon Airport,Lhok Sukon-Sumatra Island,ID-AC
Liangxiangzhen Air Base,Beijing,CN-11
Lianshui Airport,Huai'an,CN-32
Liberal Mid-America Regional Airport,Liberal,US-KS
Libertador Gral D Jose De San Martin Airport,Posadas,AR-N
Libourne-Artigues-de-Lussac Airport,Libourne/Artigues-de-Lussac,FR-B
Libreville Leon M'ba International Airport,Libreville,GA-1
Licenciado Adolfo Lopez Mateos International Airport,Toluca,MX-MEX
Licenciado Benito Juarez International Airport,Mexico City,MX-DIF
Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,MX-JAL
Licenciado Manuel Crescencio Rejon Int Airport,Mérida,MX-YUC
Licenciado Miguel de la Madrid Airport,Colima,MX-COL
Lichinga Airport,Lichinga,MZ-A
Liège Airport,Liège,BE-WLG
Liep?ja International Airport,Liep?ja,LV-LE
Lifou Airport,Lifou,NC-U-A
Lifuka Island Airport,Lifuka,TO-02
Lihue Airport,Lihue,US-HI
Lijiang Airport,Lijiang,CN-53
Lille-Lesquin Airport,Lille/Lesquin,FR-O
Lilongwe International Airport,Lilongwe,MW-LI
Limbang Airport,Limbang,MY-13
Lime Acres Finsch Mine Airport,Lime Acres,ZA-NC
Limoges Airport,Limoges/Bellegarde,FR-L
Limon International Airport,Puerto Limon,CR-L
Lincoln Airport,Lincoln,US-NE
Lindu Airport,Yichun,CN-23
Linfen Qiaoli Airport,Linfen,CN-14
Lingling Airport,Yongzhou,CN-43
Linköping City Airport,Linköping,SE-E
Lins Airport,Lins,BR-SP
Lintsang Airfield,Lincang,CN-53
Linz Hörsching Airport,Linz,AT-4
Lipetsk Air Base,Lipetsk,RU-LIP
Lipetsk Airport,Lipetsk,RU-LIP
Liping Airport,Liping,CN-52
Lisbon Portela Airport,Lisbon,PT-11
Lismore Airport,Lismore,AU-NSW
Little Grand Rapids Airport,Little Grand Rapids,CA-MB
Little Rock Air Force Base,Jacksonville,US-AR
Liuting Airport,Qingdao,CN-37
Liuzhou Bailian Airport,Liuzhou,CN-45
Liverpool John Lennon Airport,Liverpool,GB-ENG
Liverpool South Shore Regional Airport,Liverpool,CA-NS
Livingstone Airport,Livingstone,ZM-07
Ljubljana Jože Pu?nik Airport,Ljubljana,SI-061
Ljungbyhed Airport,Ljungbyhed,SE-M
Lleida-Alguaire Airport,Lleida,ES-CT
Lloydminster Airport,Lloydminster,CA-AB
Loakan Airport,Baguio City,PH-BEN
Lockhart River Airport,Lockhart River,AU-QLD
Lodwar Airport,Lodwar,KE-700
?ód? W?adys?aw Reymont Airport,?ód?,PL-LD
Logan-Cache Airport,Logan,US-UT
Loikaw Airport,Loikaw,MM-12
Lok Nayak Jayaprakash Airport,Patna,IN-BR
Lokichoggio Airport,Lokichoggio,KE-700
Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN-AS
Lolland Falster Maribo Airport,Lolland Falster / Maribo,DK-85
Lombok International Airport,Mataram,ID-NB
Lomé-Tokoin Airport,Lomé,TG-M
London Airport,London,CA-ON
London Biggin Hill Airport,London,GB-ENG
London City Airport,London,GB-ENG
London Gatwick Airport,London,GB-ENG
London Heathrow Airport,London,GB-ENG
London Luton Airport,London,GB-ENG
London Stansted Airport,London,GB-ENG
London-Corbin Airport/Magee Field,London,US-KY
Lone Star Executive Airport,Houston,US-TX
Long Beach /Daugherty Field/ Airport,Long Beach,US-CA
Long Island Mac Arthur Airport,Islip,US-NY
Longdongbao Airport,Guiyang,CN-52
Longjia Airport,Changchun,CN-22
Longreach Airport,Longreach,AU-QLD
Longtan Air Base,Longtan Township,TW-TAO
Longyan Guanzhishan Airport,Longyan,CN-35
Loreto International Airport,Loreto,MX-BCS
Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,FR-E
Los Alamitos Army Air Field,Los Alamitos,US-CA
Los Angeles International Airport,Los Angeles,US-CA
Los Cabos International Airport,San José del Cabo,MX-BCS
Los Chiles Airport,Los Chiles,CR-A
Los Garzones Airport,Montería,CO-COR
Louis Armstrong New Orleans International Airport,New Orleans,US-LA
Louisville International Standiford Field,Louisville,US-KY
Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,CA-QC
Lovell Field,Chattanooga,US-TN
Luang Phabang International Airport,Luang Phabang,LA-LP
Lubango Airport,Lubango,AO-HUI
Lubbock Preston Smith International Airport,Lubbock,US-TX
Lübeck Blankensee Airport,Lübeck,DE-SH
Lublin Airport,Lublin,PL-LU
Lubumbashi International Airport,Lubumbashi,CD-KA
Luderitz Airport,Luderitz,NA-KA
Luena Airport,Luena,AO-MOX
Lugano Airport,Lugano,CH-TI
Luhansk International Airport,Luhansk,UA-09
Luis Munoz Marin International Airport,San Juan,PR-U-A
Luke Air Force Base,Glendale,US-AZ
Luleå Airport,Luleå,SE-BD
Lumberton Regional Airport,Lumberton,US-NC
Lungi International Airport,Freetown,SL-N
Lusaka City Airport,Lusaka,ZM-09
Lutselk'e Airport,Lutselk'e,CA-NT
Luxembourg-Findel International Airport,Luxembourg,LU-L
Luxeuil-Saint-Sauveur (BA 116) Air Base,Luxeuil/Saint-Sauveur,FR-I
Luxor International Airport,Luxor,EG-KN
Lviv International Airport,Lviv,UA-46
Lyambir Air Base,Saransk,RU-MO
Lydd Airport,"Lydd, Ashford",GB-ENG
Lynchburg Regional Preston Glenn Field,Lynchburg,US-VA
Lynden Pindling International Airport,Nassau,BS-NP
Lynn Lake Airport,Lynn Lake,CA-MB
Lyon Saint-Exupéry Airport,Lyon,FR-V
Lyon-Bron Airport,Lyon/Bron,FR-V
M. R. Štefánik Airport,Bratislava,SK-BL
Maastricht Aachen Airport,Maastricht,NL-LI
Mac Dill Air Force Base,Tampa,US-FL
Macaé Airport,Macaé,BR-RJ
Macau International Airport,Macau,MO-U-A
Mackay Airport,Mackay,AU-QLD
Mackenzie Airport,Mackenzie,CA-BC
Mâcon-Charnay Airport,Mâcon/Charnay,FR-D
Mactan Cebu International Airport,Lapu-Lapu City,PH-CEB
Madang Airport,Madang,PG-MPM
Madeira Airport,Funchal,PT-30
Madurai Airport,Madurai,IN-TN
Maestro Wilson Fonseca Airport,Santarém,BR-PA
Magadan-13 Airport,Magadan,RU-MAG
Magan Airport,Magan,RU-SA
Magas Airport,Magas,RU-IN
"Magdeburg ""City"" Airport",Magdeburg,DE-ST
Magnitogorsk International Airport,Magnitogorsk,RU-BA
Maharana Pratap Airport,Udaipur,IN-RJ
Mahlon Sweet Field,Eugene,US-OR
Maiduguri International Airport,Maiduguri,NG-BO
Mainz-Finthen Airport,Mainz,DE-RP
Maio Airport,Vila do Maio,CV-S
Majeed Bin Abdulaziz Airport,Al Ula,SA-03
Major Brigadeiro Doorgal Borges Airport,Barbacena,BR-MG
Major Brigadeiro Trompowsky Airport,Varginha,BR-MG
Makkovik Airport,Makkovik,CA-NL
Makokou Airport,Makokou,GA-6
Maksimovka Airport,Ufa,RU-BA
Makung Airport,Makung City,TW-PEN
Makurdi Airport,Makurdi,NG-BE
Malabo Airport,Malabo,GQ-BN
Malacca Airport,Malacca,MY-04
Málaga Airport,Málaga,ES-AN
Malakal Airport,Malakal,SS-23
Malamala Airport,Malamala,ZA-NP
Malanje Airport,Malanje,AO-MAL
Malatya Erhaç Airport,Malatya,TR-44
Malcolm McKinnon Airport,Brunswick,US-GA
Malé International Airport,Malé,MV-MLE
Malindi Airport,Malindi,KE-300
Mallam Aminu International Airport,Kano,NG-KN
Malmen Air Base,Linköping,SE-E
Malmö Sturup Airport,Malmö,SE-M
Malpensa International Airport,Milan,IT-25
Malta International Airport,Valletta,MT-25
Malvinas Argentinas Airport,Ushuahia,AR-V
Mananara Nord Airport,Mananara Nord,MG-A
Manas International Airport,Bishkek,KG-C
Manchester Airport,Manchester,GB-ENG
Manchester Airport,Manchester,US-NH
Manda Airstrip,Lamu,KE-300
Mandalay International Airport,Mandalay,MM-04
Mangalore International Airport,Mangalore,IN-KA
Mangla Airport,Mangla,PK-PB
Mangochi Airport,Mangochi,MW-MG
Mangshi Airport,Luxi,CN-53
Manhattan Regional Airport,Manhattan,US-KS
Manicoré Airport,Manicoré,BR-AM
Maningrida Airport,Maningrida,AU-NT
Manitoulin East Municipal Airport,Manitowaning,CA-ON
Manitouwadge Airport,Manitouwadge,CA-ON
Mannheim-City Airport,Mannheim,DE-BW
Mano Dayak International Airport,Agadez,NE-1
Mansfield Lahm Regional Airport,Mansfield,US-OH
Manuel Márquez de León International Airport,La Paz,MX-BCS
Maputo Airport,Maputo,MZ-MPM
Maquehue Airport,Temuco,CL-AR
Mar de Cortés International Airport,Puerto Peñasco,MX-SON
Mara Serena Lodge Airstrip,Masai Mara,KE-700
Maradi Airport,Maradi,NE-4
Marandúa Air Base,Marandúa,CO-VID
Marathon Airport,Marathon,CA-ON
March ARB Airport,Riverside,US-CA
Marcos A. Gelabert International Airport,Albrook,PA-8
M?rcule?ti International Airport,M?rcule?ti,MD-FR
Mardin Airport,Mardin,TR-47
Maré Airport,Maré,NC-U-A
Marechal Cunha Machado International Airport,São Luís,BR-MA
Marechal Rondon Airport,Cuiabá,BR-MT
Margaret Ekpo International Airport,Calabar,NG-CR
Margate Airport,Margate,ZA-NL
Maria Montez International Airport,Barahona,DO-04
Maria Reiche Neuman Airport,Nazca,PE-ICA
Mariana Grajales Airport,Guantánamo,CU-14
Mariental Airport,Mariental,NA-HA
Marina Di Campo Airport,Marina  Di Campo,IT-52
Marinduque Airport,Gasan,PH-MAD
Mário de Almeida Franco Airport,Uberaba,BR-MG
Mário Ribeiro Airport,Montes Claros,BR-MG
Mariquita Airport,Mariquita,CO-TOL
Mariscal Lamar Airport,Cuenca,EC-A
Mariscal Sucre International Airport,Quito,EC-P
Mariupol International Airport,Mariupol,UA-14
Marsa Alam International Airport,Marsa Alam,EG-BA
Marseille Provence Airport,Marseille,FR-U
Marsh Harbour International Airport,Marsh Harbour,BS-MH
Marshall Army Air Field,Fort Riley(Junction City),US-KS
Marshall Don Hunter Sr Airport,Marshall,US-AK
Marshall Islands International Airport,Majuro Atoll,MH-MAJ
Martin Miguel De Guemes International Airport,Salta,AR-A
Martin State Airport,Baltimore,US-MD
Martinique Aimé Césaire International Airport,Fort-de-France,MQ-U-A
Marudi Airport,Marudi,MY-13
Mary Airport,Mary,TM-M
Mary North Airport,Mary,TM-M
Mary's Harbour Airport,Mary's Harbour,CA-NL
Mashhad International Airport,Mashhad,IR-30
Masirah Air Base,Masirah,OM-SH
Mason City Municipal Airport,Mason City,US-IA
Masroor Air Base,Karachi,PK-SD
Massawa International Airport,Massawa,ER-SK
Massena International Richards Field,Massena,US-NY
Masset Airport,Masset,CA-BC
Masvingo International Airport,Masvingo,ZW-MV
Matagami Airport,Matagami,CA-QC
Matane Airport,Matane,CA-QC
Mataveri Airport,Isla De Pascua,CL-VS
Matecaña International Airport,Pereira,CO-RIS
Matsapha Airport,Manzini,SZ-MA
Matsu Beigan Airport,Beigan Island,TW-X-LK
Matsu Nangan Airport,Nangang Island,TW-X-LK
Matsumoto Airport,Matsumoto,JP-20
Matsushima Air Base,Ishinomaki,JP-04
Matsuyama Airport,Matsuyama,JP-38
Maubeuge-Élesmes Airport,Maubeuge/Élesmes,FR-O
Maun Airport,Maun,BW-NW
Maximo Gomez Airport,Ciego de Avila,CU-08
Maxwell Air Force Base,Montgomery,US-AL
Mayaguana Airport,Mayaguana,BS-MG
Maya-Maya Airport,Brazzaville,CG-12
Maygatka Airport.,Sovetskaya Gavan,RU-KHA
Mayo Airport,Mayo,CA-YT
Mayor Buenaventura Vivas International Airport,Santo Domingo,VE-S
Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,PE-CAJ
Mbandaka Airport,Mbandaka,CD-EQ
Mbanza Congo Airport,Mbanza Congo,AO-ZAI
MBS International Airport,Saginaw,US-MI
Mbuji Mayi Airport,Mbuji Mayi,CD-KE
Mc Alester Regional Airport,Mc Alester,US-OK
Mc Allen Miller International Airport,Mc Allen,US-TX
Mc Clellan Airfield,Sacramento,US-CA
Mc Clellan-Palomar Airport,Carlsbad,US-CA
Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,US-MS
Mc Connell Air Force Base,Wichita,US-KS
Mc Cook Ben Nelson Regional Airport,Mc Cook,US-NE
Mc Entire Joint National Guard Base,Eastover,US-SC
Mc Guire Air Force Base,Wrightstown,US-NJ
Mc Kellar Sipes Regional Airport,Jackson,US-TN
Mc Minnville Municipal Airport,Mc Minnville,US-OR
McCall Municipal Airport,McCall,US-ID
McCarran International Airport,Las Vegas,US-NV
McChord Air Force Base,Tacoma,US-WA
McGhee Tyson Airport,Knoxville,US-TN
McGrath Airport,McGrath,US-AK
McMurdo Station Ice Runway,McMurdo Station,AQ-U-A
McMurdo Station Pegasus Field,McMurdo Station,AQ-U-A
Meadow Lake Airport,Meadow Lake,CA-SK
Meadows Field,Bakersfield,US-CA
Mecheria Airport,Mecheria,DZ-45
Medicine Hat Airport,Medicine Hat,CA-AB
Mehamn Airport,Mehamn,NO-20
Mehrabad International Airport,Tehran,IR-07
Meiktila Air Base,Meiktila,MM-04
Mekoryuk Airport,Mekoryuk,US-AK
Melbourne International Airport,Melbourne,AU-VIC
Melbourne International Airport,Melbourne,US-FL
Melbourne Moorabbin Airport,Melbourne,AU-VIC
Melilla Airport,Melilla,ES-ML
Melitopol Air Base,Melitopol,UA-23
Melun-Villaroche Air Base,Melun/Villaroche,FR-J
Melville Hall Airport,Marigot,DM-02
Memanbetsu Airport,?zora,JP-01
Memmingen Allgau Airport,Memmingen,DE-BY
Memorial Field,Hot Springs,US-AR
Memphis International Airport,Memphis,US-TN
Menara Airport,Marrakech,MA-MAR
Mende-Brenoux Airport,Mende/Brénoux,FR-K
Mendi Airport,Mendi,PG-SHM
Menongue Airport,Menongue,AO-CCU
Menorca Airport,Menorca Island,ES-PM
Merced Regional Macready Field,Merced,US-CA
Mercedita Airport,Ponce,PR-U-A
Mercer County Airport,Bluefield,US-WV
Meridian Naval Air Station,Meridian,US-MS
Merimbula Airport,Merimbula,AU-NSW
Merle K (Mudhole) Smith Airport,Cordova,US-AK
Merowe New Airport,Merowe,SD-01
Merrill Field,Anchorage,US-AK
Mersa Matruh Airport,Mersa Matruh,EG-MT
Merville-Calonne Airport,Merville/Calonne,FR-O
Metropolitan Oakland International Airport,Oakland,US-CA
Metz-Nancy-Lorraine Airport,Metz / Nancy,FR-M
Mfuwe Airport,Mfuwe,ZM-03
Miami International Airport,Miami,US-FL
Mianwali Air Base,Mianwali,PK-PB
Mianyang Airport,Mianyang,CN-51
Michurinsk Air Base,Michurinsk,RU-TAM
Mid Delta Regional Airport,Greenville,US-MS
Mid Ohio Valley Regional Airport,Parkersburg,US-WV
Middle Georgia Regional Airport,Macon,US-GA
Midland International Airport,Midland,US-TX
Migalovo Air Base,Tver,RU-TVE
Mihail Kog?lniceanu International Airport,Constan?a,RO-CT
Miho Yonago Airport,Yonago,JP-32
Mikkeli Airport,Mikkeli,FI-IS
Mikonos Airport,Mykonos Island,GR-82
Milano Linate Airport,Milan,IT-25
Milas Bodrum International Airport,Bodrum,TR-48
Mildura Airport,Mildura,AU-VIC
Miley Memorial Field,Big Piney,US-WY
Miller Field,Valentine,US-NE
Millington Regional Jetport Airport,Millington,US-TN
Millville Municipal Airport,Millville,US-NJ
Minaçu Airport,Minaçu,BR-GO
Minami-Daito Airport,Minamidait?,JP-47
Minangkabau Airport,Ketaping/Padang-Sumatra Island,ID-SB
Minatitlán/Coatzacoalcos National Airport,Minatitlán,MX-VER
Mineralnyye Vody Airport,Mineralnyye Vody,RU-STA
Minhas Air Base,Kamra,PK-PB
Ministro Pistarini International Airport,Buenos Aires,AR-B
Ministro Victor Konder International Airport,Navegantes,BR-SC
Minna Airport,Minna,NG-NI
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,US-MN
Minot Air Force Base,Minot,US-ND
Minot International Airport,Minot,US-ND
Minsk 1 Airport,Minsk,BY-MI
Minsk National Airport,Minsk,BY-MI
Miquelon Airport,Miquelon,PM-ML
Miramar Marine Corps Air Station - Mitscher Field,San Diego,US-CA
Miramichi Airport,Miramichi,CA-NB
Miri Airport,Miri,MY-13
Mirny Airport,Mirny,RU-SA
Miroslawiec Military Air Base,Miros?awiec,PL-ZP
Mirpur Khas Air Base,Mirpur Khas,PK-SD
Misawa Air Base,Misawa,JP-02
Mission Field,Livingston,US-MT
Missoula International Airport,Missoula,US-MT
Mitiga Airport,Tripoli,LY-TB
Mius Airport,Sarov,RU-NIZ
Miyakejima Airport,Miyakejima,JP-13
Miyako Airport,Miyako City,JP-47
Miyazaki Airport,Miyazaki,JP-45
Mkuze Airport,Mkuze,ZA-NL
Mmabatho International Airport,Mafeking,ZA-NW
"Mo i Rana Airport, Røssvoll",Mo i Rana,NO-18
Mobile Downtown Airport,Mobile,US-AL
Mobile Regional Airport,Mobile,US-AL
Mobridge Municipal Airport,Mobridge,US-SD
Mocímboa da Praia Airport,Mocímboa da Praia,MZ-P
MoD Boscombe Down Airport,Amesbury,GB-ENG
MoD St. Athan,St. Athan,GB-WLS
Modesto City Co-Harry Sham Field,Modesto,US-CA
Modlin Airport,Warsaw,PL-MZ
Moenjodaro Airport,Moenjodaro,PK-SD
Moffett Federal Airfield,Mountain View,US-CA
Mogilev Airport,Mogilev,BY-MA
Mohamed Boudiaf International Airport,Constantine,DZ-25
Mohammed V International Airport,Casablanca,MA-CAS
Moi Air Base,Nairobi,KE-110
Moises Benzaquen Rengifo Airport,Yurimaguas,PE-LOR
Moises R. Espinosa Airport,Masbate,PH-MAS
Molde Airport,Årø,NO-15
Molokai Airport,Kaunakakai,US-HI
Moma Airport,Honuu,RU-SA
Mombasa Moi International Airport,Mombasa,KE-300
Momote Airport,Manus Island,PG-MRL
Monastir Habib Bourguiba International Airport,Monastir,TN-52
Monbetsu Airport,Monbetsu,JP-01
Mönchengladbach Airport,Mönchengladbach,DE-NW
Mong Hsat Airport,Mong Hsat,MM-17
Mongu Airport,Mongu,ZM-01
Monroe County Airport,Bloomington,US-IN
Monroe Regional Airport,Monroe,US-LA
Monseñor Óscar Arnulfo Romero International Airport,San Salvador (San Luis Talpa),SV-PA
Mont Joli Airport,Mont-Joli,CA-QC
Montauban Airport,Montauban,FR-N
Montbéliard-Courcelles Airfield,Montbéliard/Courcelles,FR-I
Mont-de-Marsan (BA 118) Air Base,Mont-de-Marsan,FR-B
Monte Caseros Airport,Monte Caseros,AR-W
Monte Dourado Airport,Almeirim,BR-PA
Monterey Peninsula Airport,Monterey,US-CA
Montgomery Regional (Dannelly Field) Airport,Montgomery,US-AL
Monticello Municipal Ellis Field,Monticello,US-AR
Montijo Airport,Montijo,PT-15
Montluçon-Guéret Airport,Montluçon/Guéret,FR-L
Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR-K
Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA-QC
Montréal / Saint-Hubert Airport,Montréal,CA-QC
Montreal International (Mirabel) Airport,Montréal,CA-QC
Montrose Regional Airport,Montrose,US-CO
Moody Air Force Base,Valdosta,US-GA
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA-SK
Moosonee Airport,Moosonee,CA-ON
Mopah Airport,Merauke-Papua Island,ID-PA
Moranbah Airport,Moranbah,AU-QLD
Moree Airport,Moree,AU-NSW
Morgantown Municipal Walter L. Bill Hart Field,Morgantown,US-WV
Morlaix-Ploujean Airport,Morlaix/Ploujean,FR-E
Morningside Farm Airport,Silveroaks,ZA-NW
Moron Air Base,Morón,ES-AN
Mörön Airport,Mörön,MN-041
Morristown Municipal Airport,Morristown,US-NJ
Moruya Airport,Moruya,AU-NSW
Moses Kilangin Airport,Timika-Papua Island,ID-PA
Moshoeshoe I International Airport,Maseru,LS-A
Moss-Rygge Airport,Oslo,NO-01
Mostar International Airport,Mostar,BA-BIH
Mosul International Airport,Mosul,IQ-NI
Mouilla Ville Airport,Mouila,GA-4
Moulay Ali Cherif Airport,Errachidia,MA-ERR
Mount Hagen Kagamuga Airport,Mount Hagen,PG-WHM
Mount Hotham Airport,Mount Hotham,AU-VIC
Mount Isa Airport,Mount Isa,AU-QLD
Mount Pleasant Airport,Mount Pleasant,FK-U-A
Mountain Home Air Force Base,Mountain Home,US-ID
Mozdok Air Base,Mozdok,RU-SE
Mt. Fuji Shizuoka Airport,Makinohara / Shimada,JP-22
Mtwara Airport,Mtwara,TZ-17
Muan International Airport,Piseo-ri (Muan),KR-46
Mudanjiang Hailang International Airport,Mudanjiang,CN-23
Mudgee Airport,Mudgee,AU-NSW
Mueda Airport,Mueda,MZ-P
Muir Army Air Field (Fort Indiantown Gap) Airport,Fort Indiantown Gap(Annville),US-PA
Mukalla International Airport,Riyan,YE-HD
Multan International Airport,Multan,PK-PB
Mulu Airport,Mulu,MY-13
Mundo Maya International Airport,San Benito,GT-PE
Munich Airport,Munich,DE-BY
Münster Osnabrück Airport,Münster,DE-NW
Murmansk Airport,Murmansk,RU-MUR
Murod Kond Airport,Latur,IN-MM
Murray Field,Eureka,US-CA
Murtala Muhammed International Airport,Lagos,NG-LA
Mu? Airport,Mu?,TR-49
Muscat International Airport,Muscat,OM-MA
Mushaf Air Base,Sargodha,PK-PB
Muskoka Airport,Muskoka,CA-ON
Muskrat Dam Airport,Muskrat Dam,CA-ON
Mustique Airport,Mustique Island,VC-06
Mutiara Airport,Palu-Celebes Island,ID-ST
Mutoko Airport,Mutoko,ZW-ME
Muwaffaq Salti Air Base,Al Azraq,JO-AZ
Muzaffarabad Airport,Muzaffarabad,PK-JK
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA-2
Mwanza Airport,Mwanza,TZ-18
Myachkovo Airport,Moscow,RU-MOS
Myeik Airport,Mkeik,MM-05
Myitkyina Airport,Myitkyina,MM-11
Mykolaiv International Airport,Nikolayev,UA-48
Myrtle Beach International Airport,Myrtle Beach,US-SC
Mytilene International Airport,Mytilene,GR-83
Mzuzu Airport,Mzuzu,MW-MZ
Nabire Airport,Nabire-Papua Island,ID-PA
Nadi International Airport,Nadi,FJ-W
Nador International Airport,Nador,MA-NAD
Nadym Airport,Nadym,RU-YAN
Nadzab Airport,Lae,PG-MPL
Naga Airport,Naga,PH-CAS
Nagasaki Airport,Nagasaki,JP-42
Nagoya Airport,Nagoya,JP-23
Nagurskoye,Murmansk,RU-ARK
Naha Airport,Naha,JP-47
Naha Airport,Tahuna-Sangihe Island,ID-SA
Nain Airport,Nain,CA-NL
Nairobi Wilson Airport,Nairobi,KE-110
Nakashibetsu Airport,Nakashibetsu,JP-01
Nakhchivan Airport,Nakhchivan,AZ-NX
Nakhon Si Thammarat Airport,Nakhon Si Thammarat,TH-80
Nakina Airport,Nakina,CA-ON
Nal Airport,Bikaner,IN-RJ
Nalchik Airport,Nalchik,RU-KB
Nám?š? Air Base,Nám?š?,CZ-VY
Namibe Airport,Namibe,AO-NAM
Nampong Air Base,Myitkyina,MM-11
Nampula Airport,Nampula,MZ-N
Namsang Airport,Namsang,MM-17
Nanaimo Airport,Nanaimo,CA-BC
Nanchang Changbei International Airport,Nanchang,CN-36
Nanchang New Airfield,Nanchang,CN-36
Nanchang Xiangtang Air Base,Nanchang,CN-36
Nancy-Essey Airport,Nancy/Essey,FR-M
Nancy-Ochey (BA 133) Air Base,Nancy/Ochey,FR-M
Nanded Airport,Nanded,IN-MM
Nanga Pinoh Airport,Nanga Pinoh-Borneo Island,ID-KB
Nanjing Air Base,Nanjing,CN-32
Nanjing Lukou Airport,Nanjing,CN-32
Nanki Shirahama Airport,Shirahama,JP-30
Nanning Wuxu Airport,Nanning,CN-45
Nanping Wuyishan Airport,Wuyishan,CN-35
Nantes Atlantique Airport,Nantes,FR-R
Nantucket Memorial Airport,Nantucket,US-MA
Nanyuki Airport,Nanyuki,KE-200
Naples International Airport,Nápoli,IT-72
Naples Municipal Airport,Naples,US-FL
Narita International Airport,Tokyo,JP-12
Narrabri Airport,Narrabri,AU-NSW
Narrandera Airport,Narrandera,AU-NSW
Narsarsuaq Airport,Narsarsuaq,GL-U-A
Narvik Framnes Airport,Narvik,NO-18
Naryan Mar Airport,Naryan Mar,RU-NEN
NAS Fort Worth JRB/Carswell Field,Fort Worth,US-TX
Nasa Shuttle Landing Facility Airport,Titusville,US-FL
Nashville International Airport,Nashville,US-TN
Nasosnaya Air Base,Nasosnaya,AZ-SM
Natashquan Airport,Natashquan,CA-QC
Nauru International Airport,Yaren District,NR-14
Nausori International Airport,Nausori,FJ-C
Naval Air Station Key West/Boca Chica Field,Key West,US-FL
Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport,US-FL
Naypyidaw Airport,Pyinmana,MM-04
N'Djamena International Airport,N'Djamena,TD-CB
Ndjili International Airport,Kinshasa,CD-KN
Ndolo Airport,N'dolo,CD-KN
Nea Anchialos Airport,Nea Anchialos,GR-43
Necochea Airport,Necochea,AR-B
Needles Airport,Needles,US-CA
Nefteyugansk Airport,Nefteyugansk,RU-KHM
Negage Airport,Negage,AO-UIG
Nejanilini Lake Airport,Nejanilini Lake,CA-MB
Nellis Air Force Base,Las Vegas,US-NV
Nelson Airport,Nelson,NZ-NSN
Nemiscau Airport,Nemiscau,CA-QC
Nenana Municipal Airport,Nenana,US-AK
Nepalgunj Airport,Nepalgunj,NP-BH
Netaji Subhash Chandra Bose International Airport,Kolkata,IN-WB
Neubrandenburg Airport,Neubrandenburg,DE-MV
