Avignon-Caumont Airport,Avignon/Caumont,FR-U
Avord (BA 702) Air Base,Avord,FR-F
Awang Airport,Cotabato City,PH-MAG
Ayaguz Airport,Ayaguz,KZ-VOS
Ayers Rock Connellan Airport,Ayers Rock,AU-NT
Babelthuap Airport,Babelthuap Island,PW-004
Babo Airport,Babo-Papua Island,ID-PB
Babruisk Air Base,Babruisk,BY-MA
Bacacheri Airport,Curitiba,BR-PR
Bac?u Airport,Bac?u,RO-BC
Bachigualato Federal International Airport,Culiacán,MX-SIN
Bacolod-Silay City International Airport,Bacolod City,PH-NEC
Bada Air Base,Bada,RU-CHI
Badajoz Airport,Badajoz,ES-EX
Badr Air Base,Esfahan,IR-04
Bafoussam Airport,Bafoussam,CM-OU
Bagay-Baranovka Air Base,Sennoy,RU-SAR
Bagdogra Airport,Siliguri,IN-WB
Baghdad International Airport,Baghdad,IQ-BG
Bagram Air Base,Bagram,AF-PAR
Bahawalpur Airport,Bahawalpur,PK-PB
Bahia - Jorge Amado Airport,Ilhéus,BR-BA
Bahías de Huatulco International Airport,Huatulco,MX-OAX
Bahir Dar Airport,Bahir Dar,ET-AM
Bahrain International Airport,Manama,BH-15
Baie Comeau Airport,Baie-Comeau,CA-QC
Baimuru Airport,Baimuru,PG-GPK
Baise Youjiang Airport,Baise,CN-45
Baita International Airport,Hohhot,CN-15
Bakel Airport,Bakel,SN-TC
Baker City Municipal Airport,Baker City,US-OR
Baker Lake Airport,Baker Lake,CA-NU
Baku Kala Air Base,Baku,AZ-BA
Balakovo Airport,Balakovo,RU-SAR
Balashov Air Base,Balashov,RU-SAR
Balbasovo Air Base,Orsha,BY-VI
Balchik Air Base,Balchik,BG-03
Bal?kesir Körfez Airport,Edremit,TR-10
Balimo Airport,Balimo,PG-WPD
Balkhash Airport,Balkhash,KZ-KAR
Ballina Byron Gateway Airport,Ballina,AU-NSW
Balmaceda Airport,Balmaceda,CL-AI
B?l?i City Airport,B?l?i,MD-BL
Balti International Airport,Strymba,MD-RS
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US-MD
Bamenda Airport,Bamenda,CM-NW
Banak Airport,Lakselv,NO-20
Bancasi Airport,Butuan City,PH-AGN
Bandar Abbas International Airport,Bandar Abbas,IR-23
Bandar Lengeh Airport,Bandar Lengeh,IR-23
Bandaranaike International Colombo Airport,Colombo,LK-1
B?neasa International Airport,Bucharest,RO-B
Bangoka International Airport,Kisangani,CD-OR
Bangor International Airport,Bangor,US-ME
Bangui M'Poko International Airport,Bangui,CF-MP
Banja Luka International Airport,Banja Luka,BA-SRP
Banjul International Airport,Banjul,GM-W
